"Table B6. Number of Active DO Residents, by Race/Ethnicity (Alone or In Combination) and GME Specialty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22 Active Residents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The table below displays the number and percentage of 2021-22 active DO residents by race/ethnicity (alone or in combination) and specialty. ""Alone or in combination"" indicates those who selected a race/ethnicity category alone or in combination with another race/ethnicity response. The sum of the race/ethnicity categories may not add to the total number of residents since a resident could designate multiple race/ethnicity categories. For example, in 2021-22, two active DO residents who identified as American Indian or Alaska Native alone or in combination with any other race/ethnicity response were training in Anesthesiology. Race/ethnicity data are only shown for U.S. citizens or permanent residents. The ""Non-U.S. Citizen or Non-Permanent Resident"" category may include residents with unknown citizenship. Data are for graduates of DO-granting U.S. schools. Counts and percentages shown for specialties do not include counts and percentages for the related subspecialties. Please contact residentreport@aamc.org with any comments or questions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Selected Finding: The distribution of active DO residents by race/ethnicity varies across specialties. Overall, 64.4% of active U.S. citizen DO residents in 2021-22 reported White, 21.5% reported Asian, 5.1% reported Hispanic, 2.8% reported Black or African American, 0.6% reported American Indian or Alaska Native, and 0.2% reported Native Hawaiian or Other Pacific Islander. Additionally, 8.5% of active DO residents were non-U.S. citizens in 2021-22.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGME-Accredited Specialties and Subspecialties,,Active Residents who are Graduates of DO-granting U.S. Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,American Indian or Alaska Native,,Asian,,Black or African American,,"Hispanic, Latino, or of Spanish Origin",,Native Hawaiian or Other Pacific Islander,,White,,"Other 
Race/Ethnicity",,Unknown Race/Ethnicity,,Non-U.S. Citizen or Non-Permanent Resident,,Unduplicated Total,,,,,,,,,,,,,,,
,Neurodevelopmental Disabilities (Neurology),0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,2,66.7,1,33.3,0,0.0,0,0.0,3,,,,,,,,,,,,,,,
,Neuromuscular Medicine (Neurology),0,0.0,2,33.3,0,0.0,0,0.0,0,0.0,4,66.7,0,0.0,0,0.0,0,0.0,6,,,,,,,,,,,,,,,
,Vascular Neurology (Neurology),0,0.0,7,36.8,1,5.3,0,0.0,0,0.0,8,42.1,1,5.3,0,0.0,2,10.5,19,,,,,,,,,,,,,,,
Nuclear Medicine,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,1,,,,,,,,,,,,,,,
Obstetrics and Gynecology,,4,0.4,129,14.0,43,4.7,51,5.5,0,0.0,684,74.0,21,2.3,0,0.0,50,5.4,924,,,,,,,,,,,,,,,
,Complex Family Planning (Obstetrics and Gynecology),0,0.0,0,0.0,1,33.3,0,0.0,0,0.0,2,66.7,0,0.0,0,0.0,0,0.0,3,,,,,,,,,,,,,,,
,Female Pelvic Medicine and Reconstructive Surgery (Obstetrics and Gynecology),0,0.0,2,18.2,1,9.1,0,0.0,0,0.0,9,81.8,0,0.0,0,0.0,0,0.0,11,,,,,,,,,,,,,,,
,Gynecologic Oncology (Obstetrics and Gynecology),0,0.0,0,0.0,1,10.0,0,0.0,0,0.0,7,70.0,0,0.0,0,0.0,2,20.0,10,,,,,,,,,,,,,,,
,Maternal-Fetal Medicine (Obstetrics and Gynecology),0,0.0,2,6.3,1,3.1,4,12.5,0,0.0,23,71.9,0,0.0,0,0.0,3,9.4,32,,,,,,,,,,,,,,,
,Reproductive Endocrinology and Infertility (Obstetrics and Gynecology),0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,83.3,1,16.7,0,0.0,0,0.0,6,,,,,,,,,,,,,,,
Occupational and Environmental Medicine,,0,0.0,4,20.0,1,5.0,2,10.0,0,0.0,12,60.0,1,5.0,0,0.0,1,5.0,20,,,,,,,,,,,,,,,
Ophthalmology,,0,0.0,10,14.3,0,0.0,1,1.4,0,0.0,54,77.1,2,2.9,0,0.0,5,7.1,70,,,,,,,,,,,,,,,
Orthopaedic Surgery,,0,0.0,55,9.3,7,1.2,19,3.2,3,0.5,500,84.2,13,2.2,1,0.2,22,3.7,594,,,,,,,,,,,,,,,
,Adult Reconstructive Orthopaedics (Orthopaedic Surgery),0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,100.0,0,0.0,0,0.0,0,0.0,4,,,,,,,,,,,,,,,
,Hand Surgery (Orthopaedic Surgery),0,0.0,2,28.6,0,0.0,0,0.0,0,0.0,5,71.4,0,0.0,0,0.0,0,0.0,7,,,,,,,,,,,,,,,
,Orthopaedic Sports Medicine (Orthopaedic Surgery),0,0.0,4,16.0,0,0.0,0,0.0,1,4.0,21,84.0,0,0.0,0,0.0,1,4.0,25,,,,,,,,,,,,,,,
,Orthopaedic Surgery of the Spine (Orthopaedic Surgery),0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,100.0,1,33.3,0,0.0,0,0.0,3,,,,,,,,,,,,,,,
Osteopathic Neuromusculoskeletal Medicine,,2,2.8,14,19.4,6,8.3,5,6.9,0,0.0,45,62.5,3,4.2,0,0.0,6,8.3,72,,,,,,,,,,,,,,,
Otolaryngology,,1,0.9,10,9.3,2,1.9,6,5.6,0,0.0,89,82.4,3,2.8,1,0.9,5,4.6,108,,,,,,,,,,,,,,,
,Pediatric Otolaryngology (Otolaryngology),0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,3,75.0,0,0.0,0,0.0,0,0.0,4,,,,,,,,,,,,,,,
Pain Medicine (Multidisciplinary),,0,0.0,13,18.6,0,0.0,1,1.4,0,0.0,46,65.7,7,10.0,0,0.0,7,10.0,70,,,,,,,,,,,,,,,
Pathology: Anatomic and Clinical,,3,1.3,36,15.6,5,2.2,12,5.2,0,0.0,176,76.2,2,0.9,1,0.4,12,5.2,231,,,,,,,,,,,,,,,
,Blood Banking/Transfusion Medicine (Pathology),0,0.0,0,0.0,1,33.3,0,0.0,0,0.0,2,66.7,0,0.0,0,0.0,0,0.0,3,,,,,,,,,,,,,,,
,Clinical Informatics (Pathology),0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,2,,,,,,,,,,,,,,,
,Cytopathology (Pathology),0,0.0,2,20.0,0,0.0,0,0.0,0,0.0,8,80.0,0,0.0,0,0.0,0,0.0,10,,,,,,,,,,,,,,,
,Forensic Pathology (Pathology),0,0.0,0,0.0,0,0.0,1,12.5,0,0.0,8,100.0,0,0.0,0,0.0,0,0.0,8,,,,,,,,,,,,,,,
,Hematology (Pathology),0,0.0,1,14.3,0,0.0,0,0.0,0,0.0,6,85.7,0,0.0,0,0.0,0,0.0,7,,,,,,,,,,,,,,,
,Medical Microbiology (Pathology),0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,1,,,,,,,,,,,,,,,
,Neuropathology (Pathology),0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,100.0,0,0.0,0,0.0,0,0.0,4,,,,,,,,,,,,,,,
,Pediatric Pathology (Pathology),0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,2,,,,,,,,,,,,,,,
,Selective Pathology (Pathology),0,0.0,2,33.3,0,0.0,0,0.0,0,0.0,4,66.7,0,0.0,0,0.0,0,0.0,6,,,,,,,,,,,,,,,
Pediatrics,,10,0.6,328,21.1,53,3.4,110,7.1,3,0.2,988,63.5,39,2.5,6,0.4,115,7.4,"1,555",,,,,,,,,,,,,,,
,Adolescent Medicine (Pediatrics),0,0.0,4,40.0,0,0.0,0,0.0,0,0.0,7,70.0,0,0.0,0,0.0,0,0.0,10,,,,,,,,,,,,,,,
,Clinical Informatics (Pediatrics),0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,1,,,,,,,,,,,,,,,
,Child Abuse Pediatrics (Pediatrics),1,9.1,0,0.0,1,9.1,2,18.2,0,0.0,8,72.7,0,0.0,0,0.0,0,0.0,11,,,,,,,,,,,,,,,
,Developmental-Behavioral Pediatrics (Pediatrics),0,0.0,1,5.9,0,0.0,0,0.0,0,0.0,14,82.4,0,0.0,0,0.0,2,11.8,17,,,,,,,,,,,,,,,
,Neonatal-Perinatal Medicine (Pediatrics),0,0.0,17,16.0,4,3.8,4,3.8,0,0.0,80,75.5,1,0.9,1,0.9,6,5.7,106,,,,,,,,,,,,,,,
,Pediatric Cardiology (Pediatrics),0,0.0,6,14.0,0,0.0,0,0.0,0,0.0,33,76.7,1,2.3,0,0.0,3,7.0,43,,,,,,,,,,,,,,,
,Pediatric Critical Care Medicine (Pediatrics),0,0.0,14,19.4,2,2.8,5,6.9,0,0.0,51,70.8,3,4.2,0,0.0,2,2.8,72,,,,,,,,,,,,,,,
,Pediatric Emergency Medicine (Pediatrics),0,0.0,9,14.1,2,3.1,1,1.6,0,0.0,46,71.9,3,4.7,0,0.0,5,7.8,64,,,,,,,,,,,,,,,
,Pediatric Endocrinology (Pediatrics),0,0.0,7,28.0,2,8.0,0,0.0,0,0.0,14,56.0,0,0.0,0,0.0,2,8.0,25,,,,,,,,,,,,,,,
,Pediatric Gastroenterology (Pediatrics),0,0.0,3,10.7,0,0.0,2,7.1,0,0.0,24,85.7,0,0.0,1,3.6,0,0.0,28,,,,,,,,,,,,,,,
,Pediatric Hematology/Oncology (Pediatrics),0,0.0,15,24.6,0,0.0,2,3.3,2,3.3,43,70.5,2,3.3,0,0.0,1,1.6,61,,,,,,,,,,,,,,,
,Pediatric Hospital Medicine (Pediatrics),0,0.0,5,33.3,1,6.7,2,13.3,0,0.0,10,66.7,0,0.0,0,0.0,0,0.0,15,,,,,,,,,,,,,,,
,Pediatric Infectious Diseases (Pediatrics),0,0.0,4,19.0,1,4.8,2,9.5,0,0.0,16,76.2,1,4.8,0,0.0,0,0.0,21,,,,,,,,,,,,,,,
,Pediatric Nephrology (Pediatrics),1,8.3,3,25.0,0,0.0,1,8.3,0,0.0,8,66.7,1,8.3,0,0.0,0,0.0,12,,,,,,,,,,,,,,,
,Pediatric Pulmonology (Pediatrics),0,0.0,5,17.9,1,3.6,1,3.6,0,0.0,21,75.0,1,3.6,0,0.0,1,3.6,28,,,,,,,,,,,,,,,
,Pediatric Rheumatology (Pediatrics),0,0.0,2,25.0,0,0.0,1,12.5,0,0.0,5,62.5,0,0.0,0,0.0,0,0.0,8,,,,,,,,,,,,,,,
,Pediatric Sports Medicine (Pediatrics),0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,80.0,0,0.0,0,0.0,1,20.0,5,,,,,,,,,,,,,,,
Physical Medicine and Rehabilitation,,3,0.5,156,28.4,12,2.2,25,4.5,2,0.4,329,59.8,28,5.1,1,0.2,38,6.9,550,,,,,,,,,,,,,,,
,Brain Injury Medicine (Physical Medicine and Rehabilitation),0,0.0,2,40.0,0,0.0,0,0.0,0,0.0,2,40.0,1,20.0,0,0.0,0,0.0,5,,,,,,,,,,,,,,,
,Pediatric Rehabilitation Medicine (Physical Medicine and Rehabilitation),0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,88.9,0,0.0,0,0.0,1,11.1,9,,,,,,,,,,,,,,,
,Spinal Cord Injury Medicine (Physical Medicine and Rehabilitation),0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,2,,,,,,,,,,,,,,,
,Sports Medicine (Physical Medicine and Rehabilitation),0,0.0,4,57.1,0,0.0,0,0.0,0,0.0,2,28.6,0,0.0,0,0.0,1,14.3,7,,,,,,,,,,,,,,,
Plastic Surgery,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16,88.9,0,0.0,0,0.0,2,11.1,18,,,,,,,,,,,,,,,
Plastic Surgery: Integrated,,0,0.0,2,20.0,1,10.0,1,10.0,0,0.0,6,60.0,1,10.0,0,0.0,1,10.0,10,,,,,,,,,,,,,,,
,Hand Surgery (Plastic Surgery: Integrated),0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,1,,,,,,,,,,,,,,,
Psychiatry,,7,0.6,300,23.7,39,3.1,67,5.3,1,0.1,789,62.3,59,4.7,1,0.1,109,8.6,"1,266",,,,,,,,,,,,,,,
,Addiction Medicine (Multidisciplinary),0,0.0,6,19.4,1,3.2,0,0.0,0,0.0,26,83.9,0,0.0,0,0.0,3,9.7,31,,,,,,,,,,,,,,,
,Addiction Psychiatry (Psychiatry),0,0.0,2,50.0,0,0.0,0,0.0,0,0.0,2,50.0,2,50.0,0,0.0,0,0.0,4,,,,,,,,,,,,,,,
,Child and Adolescent Psychiatry (Psychiatry),2,1.2,50,30.3,7,4.2,8,4.8,0,0.0,95,57.6,9,5.5,0,0.0,5,3.0,165,,,,,,,,,,,,,,,
,Consultation-Liaison Psychiatry (Psychiatry),0,0.0,1,12.5,1,12.5,0,0.0,0,0.0,6,75.0,0,0.0,0,0.0,0,0.0,8,,,,,,,,,,,,,,,
,Forensic Psychiatry (Psychiatry),0,0.0,2,22.2,0,0.0,1,11.1,0,0.0,7,77.8,0,0.0,0,0.0,0,0.0,9,,,,,,,,,,,,,,,
,Geriatric Psychiatry (Psychiatry),0,0.0,5,55.6,0,0.0,0,0.0,0,0.0,3,33.3,1,11.1,0,0.0,0,0.0,9,,,,,,,,,,,,,,,
Public Health and General Preventive Medicine,,0,0.0,4,22.2,0,0.0,1,5.6,0,0.0,12,66.7,0,0.0,0,0.0,1,5.6,18,,,,,,,,,,,,,,,
Radiation Oncology,,0,0.0,4,22.2,1,5.6,0,0.0,0,0.0,11,61.1,1,5.6,0,0.0,4,22.2,18,,,,,,,,,,,,,,,
Radiology: Diagnostic,,6,0.9,141,22.2,5,0.8,21,3.3,0,0.0,427,67.4,24,3.8,1,0.2,43,6.8,634,,,,,,,,,,,,,,,
,Abdominal Radiology (Radiology: Diagnostic),0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,75.0,0,0.0,0,0.0,1,25.0,4,,,,,,,,,,,,,,,
,Musculoskeletal Radiology (Radiology: Diagnostic),0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,3,75.0,1,25.0,0,0.0,0,0.0,4,,,,,,,,,,,,,,,
,Neuroradiology (Radiology: Diagnostic),0,0.0,2,9.1,1,4.5,0,0.0,0,0.0,16,72.7,0,0.0,1,4.5,2,9.1,22,,,,,,,,,,,,,,,
,Nuclear Radiology (Radiology: Diagnostic),0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,1,,,,,,,,,,,,,,,
,Pediatric Radiology (Radiology: Diagnostic),0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,,,,,,,,,,,,,,,
"Radiology, Interventional: Independent",,0,0.0,1,5.6,0,0.0,0,0.0,0,0.0,17,94.4,0,0.0,0,0.0,0,0.0,18,,,,,,,,,,,,,,,
"Radiology, Interventional: Integrated",,0,0.0,14,25.5,0,0.0,1,1.8,0,0.0,35,63.6,4,7.3,0,0.0,3,5.5,55,,,,,,,,,,,,,,,
Surgery: General,,9,0.7,172,14.1,25,2.0,71,5.8,1,0.1,897,73.5,47,3.9,1,0.1,81,6.6,"1,220",,,,,,,,,,,,,,,
,Complex General Surgical Oncology (General Surgery),0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,100.0,0,0.0,0,0.0,0,0.0,3,,,,,,,,,,,,,,,
,Pediatric Surgery (General Surgery),0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,2,,,,,,,,,,,,,,,
,Surgical Critical Care (General Surgery),0,0.0,5,10.0,3,6.0,2,4.0,0,0.0,37,74.0,3,6.0,0,0.0,2,4.0,50,,,,,,,,,,,,,,,
,Vascular Surgery (General Surgery),1,2.3,10,23.3,1,2.3,3,7.0,0,0.0,29,67.4,0,0.0,0,0.0,2,4.7,43,,,,,,,,,,,,,,,
